In what year do most  Scholars agree the Italian Unification ended?,"""1871"""
In what year do most  Scholars agree the Italian Unification began?,"""1815"""
After what event did the last citta irredente join Italy?,"""World War I."""
What event did the American revolution cause?,"""British monarchy itself to become the sovereign United States of America."""
How did the Thirteen Colonies become The United States Of America?,"""overthrow the governance of the Parliament of Great Britain, and then reject the British monarchy"""
Why did the United States form independent states?,"""the colonies first rejected the authority of the Parliament to govern them without representation"""
Who did the Second Continental Congress join together against?,"""the British"""
What is the armed conflict form 1775 to 1783 is known as?,"""American Revolutionary War"""
Where did the American Revolution start?,"""Lexington and Concord"""
"What was issued on July 4, 1776?","""Declaration of Independence"""
What did the Declaration Of Independence proclaim?,"""independence from Great Britain and their formation of a cooperative union."""
What position was Ben Franklin appointed in 1776?,"""member of the Committee of Five that drafted the Declaration of Independence."""
What was Ben Franklin disabled by? ,"""gout"""
What is the decolonization of the Americas? ,"""the process by which the countries in the Americas gained their independence from European rule."""
When did the decolonization of the Americas begin?,"""18th and early-to-mid-19th centuries."""
What were the Spanish wars directly linked to?,"""Napoleonic French invasion of Spain."""
When did the wars against Spanish rule occur?,"""1808 until 1829"""
How did the Spanish conflict begin?,"""short-lived governing juntas established in Chuquisaca and Quito opposing the composition of the Supreme Central Junta of Seville."""
Who did the central Junta fall to?,"""the French"""
What king died in 1833?,"""king Ferdinand VII"""
"After King Ferdinand died, who remained under Spanish rule?","""Cuba and Puerto Rico"""
When did the Spanish-American war occur?,"""in 1898"""
Where were the Portuguese capacities centralized? ,"""Salvador"""
When did the first industrial revolution merge into the second? ,"""around 1850"""
The 19th century was also known as? ,"""the internal combustion engine and electric power generation."""
What was the second industrial revolution was labeled?,"""separate Technical Revolution"""
What caused technological and economical progress?,"""development of steam-powered ships and railways"""
What is industrialization? ,"""social and economic change"""
industrialization is a subdivision of what general process?,"""technological innovation"""
During industrialization a human group is turned into what?,"""from a pre-industrial society into an industrial one."""
When did the modern petroleum industry start? ,"""1846"""
What started the modern petroleum industry ?,"""the discovery of the process of refining kerosene from coal"""
Who discovered the process of refining kerosene from coal?,"""Nova Scotian Abraham Pineo Gesner"""
Who improved Gesner's  of refining kerosene from coal?,"""Ignacy Łukasiewicz"""
Where was the first Rock Oil mine built?,"""Bóbrka"""
In what fields did achievements occur during the revolution?,"""electrification to developments in materials science."""
What did the advancements during the revolution improve for people?,"""quality of life"""
What did Lewis Paul invent?,"""roller spinning, the basis of the water frame for spinning cotton in a cotton mill."""
"In what period did James Lewis invent the 'Roller Spinning""?","""the first revolution"""
Who improved the steam engine?,"""Matthew Boulton and James Watt"""
Thomas Edison is credited with?,"""the creation of the first industrial research laboratory"""
How many volts did Thomas Edison's electrical supply provide?,"""110 volts"""
What Did Thomas Edison switch to in 1882?,"""the world's first large-scale electrical supply network"""
How many customers were supplied by Thomas Edison's electrical supply network?,"""fifty-nine"""
Where was Thomas Edison's electrical supply network located?,"""lower Manhattan"""
When did the European revolutions occur?,"""1848"""
How many people were estimated to be killed in the revolutions? ,"""tens of thousands"""
What are European revolutions known as in other countries?,"""Spring of Nations or the Year of Revolution"""
In what country did the revolutions begin?,"""France"""
What did the reformers look to to solve social problems?,"""Scientific Revolution and industrial progress"""
What is Newton Natural philosophy?,"""a coherent system of verifiable predictions"""
What did Newton's Nataural philosophy replace?,"""reliance on revelation and inspired truth."""
"What did Newton's philosophy do when applied to life, ","""yielded several successful campaigns for changes in social policy."""
Under whom was Russia declared an empire?,"""Peter I"""
In what year was Russia declared an empire?,"""1721"""
Through what period did Peter I rule?,"""1682 to 1725"""
Who did Peter I defeat in the Great Northern War?,"""Sweden"""
What did Peter I found on the Baltic Sea?,"""a new capital called Saint Petersburg"""
What was the Victorian era of the United Kingdom? ,"""the period of Queen Victoria's reign"""
Through what Period did Queen Victoria reign? ,"""1837 to January 1901"""
What did the people consider Queen Victoria reign to be?,"""a long period of prosperity for the British people"""
How far back would some scholars extend Victoria's reign?,"""five years to the passage of the Reform Act 1832."""
What did defeating Napoleon leave Britain without?,"""any serious international rival"""
Why did Britain adopt the role of Global Policemen?,"""Unchallenged at sea"""
Britain adopting the role as global policeman is known as,"""Pax Britannica"""
What was Britain's foreign policy called?,"""splendid isolation"""
Britain's dominant position in the world trade allowed them to do what?,"""effectively controlled the economies of many nominally independent countries, such as China, Argentina and Siam"""
What was British imperial strength replace by?,"""steamship and the telegraph"""
What was the British Empire linked by in 1982?,"""a network of telegraph cables"""
When were the steamship and the telegraph invented?,"""the second half of the 19th century"""
How many people were added to the British Empire by 1922?,"""458 million"""
When did the British establish colonies in Australia?,"""1788"""
The Bourbon Restoration followed what event?,"""Napoleon I of France"""
What is the Bourbon Restoration? ,"""Allies restored the Bourbon Dynasty to the French throne."""
What is the July Monarchy? ,"""a period of liberal constitutional monarchy in France under King Louis-Philippe"""
What is the second empires?,"""the Imperial Bonapartist regime of Napoleon III"""
Through what period did the second empire last?,"""1852 to 1870"""
What countries were involved in the Franco-Russian war?,"""France and Prussia"""
What did the Prussian and German victory mark?,"""final unification of Germany under King Wilhelm I of Prussia."""
Name one of the groups who backed Prussia in the Franco-Russian war?,"""North German Confederation"""
Prussia claimed almost all of what territory?,"""Alsace-Lorraine"""
Prussia retained most of Alsace-Lorraine up until what event?,"""World War I."""
Why did European powers lay claim to areas Africa?,"""exhibit a sphere of influence over the area"""
What did the European powers need to make their claim over these areas legitimate?,"""These claims did not have to have any substantial land holdings or treaties to be legitimate."""
What do European powers that exibit their control ovet an area accept?,"""mandate to rule that region as a national colony."""
What was the colonial experience for Africans described as?,"""hell on earth."""
How did the claims on the areas in Africa benefit the European powers?,"""colony’s commercial interests without having to fear rival European competition."""
What percent of the worlds population did Africa posses at the Berlin Conference?,"""one-fifth"""
What was Europe's perspective o Africa containing one-fifth of the worlds population?,"""they were dividing an unknown continent."""
When did European countries establish colonies in Africa?,"""the mid-nineteenth century,"""
Europe did not feel the need to posses territory in Africa until?,"""1880s"""
How did maps show Africa Before 1880?,"""generally showing blank spaces for the continent’s interior."""
Through what period did European powers expand control in Africa?,"""1880s to 1914"""
What was Europe competing for? ,"""Africa’s land and resources."""
What did Great Britain control?,"""various colonial holdings in East Africa"""
Where in Africa did the French have control? ,"""West Africa"""
Where in Africa did Portuguese have control? ,"""southern Africa"""
What was the Meija era marked by?,"""the reign of the Meiji Emperor"""
How did Japan rise to be a world power during the Meja era?,"""modernization"""
When did the Meija restoration begin?,"""1860s"""
"What does ""Meija era""","""Enlightened Rule"""
What did Irokawa Daikichi act out against?,"""bureaucratic superstate"""
Laws mandated that every able bodies Japanese citizen do what?,"""serve a mandatory term of three years with the first reserves and two additional years with the second reserves."""
Who initially rejected the Japanese laws mandating military service?,"""peasant and warrior alike."""
Who did the Japanese form their military  forces after?,"""French military"""
What did the peasant class name the mandatory military service law?,"""ketsu-eki"""
Where was the military academy located?,"""Kyoto"""
What is the antebellum age?,"""a period of increasing division in the country based on the growth of slavery"""
When did the civil was begin?,"""1861"""
When was the Antebellum age considered to have begun?,"""with the Kansas–Nebraska Act of 1854"""
What did The Antebellum age mark?,"""the transition of American manufacturing to the industrial revolution."""
What did northern leaders agree on about slavery?,"""all forms of slavery or quasi-slavery had to be eliminated."""
What did Lincoln do well in the war?,"""mobilizing support for the war goals"""
Why couldn't the confederacy defend their ports?,"""The Confederacy had a larger area than it could defend"""
General Robert E. Lee controlled what sect of the confederacy? ,"""the East"""
The south could barely do what for their souldiers?,"""feed and clothe"""
What happened in the Glided Age/,"""extravagant displays of wealth and excess of America's upper-class"""
In what time period did the Glided Age occur?,"""late 19th century"""
Where did the wealth of the Glided Age come form?,"""industrial and population expansion."""
What did Financiers refer to rich industrialist as?,"""robber barons"""
What type of practices did John D. Rockefeller exhibit in the oil industry?,"""effective tactics and aggressive practices"""
What creations brought in the modern industrial economy?,"""transportation and communication infrastructure"""
What became the dominant form of business organization? ,"""the corporation"""
What transformed business organization in 1890?,"""managerial revolution"""
The Sherman Antitrust Act is the source of what?,"""all American anti-monopoly laws."""
What was he Standard Oil Group determined to be by the courts?,"""an ""unreasonable"" monopoly"""
When did modern physics arise?,"""early 20th century"""
What is the old Quantum  theory?,"""a collection of results which predate modern quantum mechanics, but were never complete or self-consistent."""
"The ""fifth element"" was disproved by what?","""Michelson-Morley experiment"""
What is the Michelson-Morley experiment?,"""an attempt to detect the motion of earth through the aether"""
What does Darwinism promote?,"""the theory of natural selection."""
Why did Chinese philosophy begin to mix with western concepts?,"""as steps toward modernization"""
When did the Xinhai Revolution begin?,"""1911"""
What is the May Forth Movement?,"""to completely abolish the old imperial institutions and practices of China"""
What did Marxist-Leninst add to Chinese philosophy? ,"""Marxist-Leninist thought"""
During what event was Legalism abolished?,"""the Cultural Revolution"""
When was the enlightenment of spiritual philosophy challenged?,"""in various quarters around the 1900s."""
What were Humanist ethical philosophy's developed from?,"""earlier secular traditions"""
Why did Kari Marx criticize Humanist Philosophy's? ,"""it to be symptomatic of the very dehumanization it was supposed to oppose"""
What did Friedrinch Netzsche consider Humanism to be?,"""a secular version of theism"""
Why does Friedrinch Netzsche believe human rights exist?,"""as a means for the weak to collectively constrain the strong."""
What is Albert Einstein known for? ,"""his theories of special relativity and general relativity"""
What did Einstein add to the Brownman Motion?,"""mathematical treatment"""
What did Einstein discover a resolution to?,"""the paradox of specific heats"""
What theory  did Einstein have reservations about?,"""quantum field theory"""
What is the federation of Australia?,"""six separate British self-governing colonies of New South Wales, Queensland, South Australia, Tasmania, Victoria and Western Australia formed one nation."""
What was the federal Government responsible for? ,"""matters concerning the whole nation."""
When did the colonies collectively become a part of the Commonwealth  of Australia?,"""When the Constitution of Australia came into force"""
What were the last days of the Qing dynasty marked by? ,"""civil unrest and foreign invasions."""
What did the Qing dynasty attempt to do n the face of civil unrest? ,"""attempt to reform the government in various"""
What happened to The reformers in the Qing dynasty? ,"""either imprisoned or executed outright."""
What caused the revolution against the Qing dynasty?,"""failures of the Imperial Court to enact such reforming measures of political liberalization and modernization"""
When was the Republic of China established?,"""1912"""
What did China agree to avoid the undermining of the Republic?,"""agreed to Army's demand that China be united under a Beijing government."""
Who had control of the Beiyang army?,"""Yuan Shikai"""
Who was Inaugurated in Nanjing as the first provisional president? ,"""Sun Yat-sen"""
Who was sworn in as the second provisional president of the republic of China?,"""Beijing, Shikai"""
What happened to China after the 20th century revolutions?,"""shifting alliances of China's regional warlords waged war for control of the Beijing government."""
Who ultimately gained control of the Beijing government?,"""various warlords"""
Why was there not a new era of governance in Beijing? ,"""because other warlords did not acknowledge the transitory governments in this period and were a law unto themselves."""
What were the military dominated governments known as?,"""the Beiyang government"""
When did the warlord era end?,"""around 1927"""
When dd the Russo-Japanese war take place?,"""Four years into the 20th century"""
What did the battle of Port Arthur establish?,"""the Empire of Japan as a world power."""
What were the Russians hoping to find in the pacific ocean?,"""warm water port"""
Why did the Manchurian Campaign fight the Russians. ,"""over Manchuria and Korea."""
How were the Japanese victories over the Russians views around the world?,"""unexpected"""
What is the Edwardian era?,"""the period spanning the reign of King Edward VII up to the end of the First World War,"""
What event split the United Kingdom into two groups?,"""Second Boer War"""
In what year did the Liberals win huge in the general election?,"""1906"""
What led to a reduction in the power of the peers?,"""Conflict between the two Houses of Parliament over the People's Budget"""
Who held the balance of power in the 1910 election?,"""Labour and Irish Nationalist members."""
What is The Triple Entente?,"""the name given to the loose alignment between the United Kingdom, France, and Russia after the signing of the Anglo-Russian Entente in 1907."""
When was the Anglo -Russia Entente signed?,"""1907."""
What was the origin of the war?,"""the decisions taken by statesmen and generals during the July Crisis of 1914"""
Who was murdered in Austria?,"""Archduke Franz Ferdinand"""
The Triple Entente served as a counter to what agreement? ,"""Triple Alliance of Germany, Austria-Hungary, and Italy,"""
Where was the Baghdad Railway Suppose to connect?,"""Ottoman Empire cities of Konya and Baghdad with a line through modern-day Turkey, Syria and Iraq"""
What fundamental cause started the war in 1914?,"""tensions over territory in the Balkans."""
Who did Austria-Hungary war with over territory?,"""Serbia and Russia"""
Where did the Balkan wars take place?,"""South-eastern Europe"""
"Why did Albania fall out with Thessaly, Macedonia and Epirus?","""over the division of the spoils"""
When did the first World War begin? ,"""1914"""
Who led the Allied powers?,"""British Empire, France, Russia"""
Who defeated the Central Powers led by the German Empire Austro-Hungarian Empire and the Ottoman Empire??,"""Japan and the United States"""
