What government agency asked Marvel to do a series of stories to publicize an issue?,"['United States Department of Health, Education, and Welfare']"
What issue was Marvel asked to tackle for this agency?,['drug abuse']
What comic book series did stories related to this issue appear in?,['Spider-Man']
What industry censorship and standards organization tried to block publication of this series?,['Comics Code Authority']
What were the issue dates of the three-episode series on this public health issue?,['May–July 1971']
What situation allowed Marvel to expand into more adult-themed genre stories?,['the updating of the Comics Code']
"What were two of Marvel's comic heroes in fantasy, swords and magic settings?","['Conan the Barbarian, Red Sonja']"
What waterfowl character had his own satire series of comic books?,['Howard the Duck']
In what year did Marvel's sales overtake rival DC?,['1972']
How were some of Marvel's genre titles published in the 1970s?,"['larger-format black and white magazines, under its Curtis Magazines imprint']"
What new venture did Marvel's founder begin after leaving the company in the 1970s?,['Seaboard Periodicals']
What former Marvel title imprint did Goodman attempt to revive?,['Atlas Comics']
What new retail outlet came on board at the end of the 1970s to rival newsstands for comic sales?,['comic book stores']
How long was the 1970s revival of Atlas Comics in business?,['a year and a half']
During what era did newsstand distribution begin to tail off markedly for Marvel?,['the mid-1970s']
What was Marvel's self-hosted comic book convention called?,['Marvelcon']
What artist's return to Marvel was announced at this event?,['Jack Kirby']
What Marvel character was specifically created to appeal to the UK market?,['Captain Britain']
When was the first Marvel-sponsored comics convention?,['spring 1975']
When did Marvel's British-themed superhero first appear?,['October 1976']
Who took over as head of Marvel in 1978?,['Jim Shooter']
What is an example of a bad practice eliminated under Shooter's regime at Marvel?,['repeatedly missed deadlines']
What noted artist and writer made brought Daredevil to the forefront during the 1980s?,['Frank Miller']
What team of artist and writer helped popularize the Uncanny X-Men line of comics in the 1980s?,['Chris Claremont and John Byrne']
Secret Wars was an early example of what Marvel comics story trope?,['crossover story arcs']
"What 1990s comic line featured futuristic, sci-fi stories?",['2099 line']
What was the name of the specialty comics line created by Clive Barker for Marvel?,['Razorline']
In what year did Marvel introduce trading cards based on their characters?,['1990']
What trading card company did Marvel team up with to license these trading cards?,['SkyBox International']
What was affected by the increasing use at Marvel of crossover stories between comic characters?,['overall continuity of the fictional Marvel Universe']
What studio helped to relaunch and revamp classic marvel teams The Fantastic Four and the Avengers?,['Image Comics']
What two Marvel veterans founded Image?,['Jim Lee and Rob Liefeld']
How was the setting for the Image versions of Marvel characters different from the official comics?,['a parallel universe with a history distinct from the mainstream']
How long did the Image run of Marvel characters last?,['a one-year run']
"What three titles were part of the darker, grimmer Marvel Knights comics?","['the Inhumans, Black Panther and Daredevil']"
What channel did Marvel buy to self-distribute its own comics in the 1990s?,['Heroes World Distribution']
When did Marvel purchase this distribution network?,['1994']
Exclusive deals for distributing comics during the 1990s left this company as the only unaffiliated one.,['Diamond Comic Distributors Inc']
What year did Diamond Comic Distributors team up with Marvel?,['1997']
The failure of what high profile business initiative caused Marvel to approach Diamond?,"[""Marvel's Heroes World""]"
What was the business state of Marvel by 2000?,['bankruptcy']
When did Marvel withdraw from the Comics Code Authority?,['2001']
What in-house standards system did Marvel replace the Comics Code with?,['Marvel Rating System']
What was the first book published under this new ratings system?,['X-Force #119']
What was the name of the adult themed comics imprint for Marvel with more explicit content?,['MAX']
What entertainment company purchased Marvel at the end of the 2000s?,['The Walt Disney Company']
When was the sale of Marvel to this entertainment conglomerate announced?,"['August 31, 2009']"
What was the sale price of Marvel?,['$4 billion or $4.2 billion']
What is the readership market share enjoyed by Marvel and DC comics?,['80%']
"In 2010, Marvel switched to what distributor for bookstore comic book sales?",['Hachette Distribution Services']
When did the Marvel Adventures line cease publishing?,['March 2012']
Infinite Comics is related to what comics media platform?,['digital comics']
What are two new titles under the Marvel NOW! line of comics?,['Uncanny Avengers and All-New X-Men']
"Marvel NOW!, Infinite Comics, and Marvel AR are under the umbrella of what in house business endeavor?",['Marvel ReEvolution']
What does the AR in Marvel AR stand for?,['augmented reality']
What TV network shares a parent with Marvel?,['ABC']
What series on this network was given a Marvel graphic novel?,['Once Upon a Time']
What is the Marvel and Disney line of comics called?,"['""Disney Kingdoms""']"
What was the first title published in that joint line of comics?,"['""Seekers of the Weird""']"
What movie sci-fi franchise returned to Marvel in 2015?,['Star Wars']
What publisher did Marvel first license its characters to for novelization?,['Bantam Books']
What was the first novel published under this deal?,['The Avengers Battle the Earth Wrecker by Otto Binder']
What was the name of the short-lived Marvel novelization book publisher during the 2000s?,['Marvel Press']
"In 2005, Marvel dropped it's own publishing rights for novelization and instead partnered with what publisher?",['Pocket Books']
Marvel Press was relaunched in what year?,['2011']
What Disney theme park will become the first to feature Marvel-specific attractions?,['Hong Kong Disneyland']
"Because of a prior contract, what two Disney parks are barred from featuring Marvel characters?",['Walt Disney World and Tokyo Disney']
The contract with what non-Disney studio prevents some parks from using Marvel characters?,['Universal Studios']
What Marvel movie featured Star-Lord and Gamora?,['Guardians of the Galaxy']
What movie features the characters Baymax and Hiro?,['Big Hero 6']
